kind,series,x,y
pmf,full,0,0.0006038943823464698
pmf,full,1,0.02648326733411013
pmf,full,2,0.10224306717811381
pmf,full,3,0.15200479738073897
pmf,full,4,0.15417464851116125
pmf,full,5,0.13262461440096707
pmf,full,6,0.10555492087360907
pmf,full,7,0.08085181249944018
pmf,full,8,0.06078837653226987
pmf,full,9,0.04533855390933317
pmf,full,10,0.033745779514308794
pmf,full,11,0.025152244553694914
pmf,full,12,0.018811376584867645
pmf,full,13,0.014133990901378901
pmf,full,14,0.010675769390066314
pmf,full,15,0.008109120013930493
pmf,full,16,0.006195125505769283
pmf,full,17,0.004760293833959928
pmf,full,18,0.003678700137266233
pmf,full,19,0.002858770477799588
pmf,full,20,0.0022336859418929933
pmf,full,21,0.001754481029114352
pmf,full,22,0.0013850991370079058
pmf,full,23,0.0010988519220820336
pmf,full,24,0.0008758797668395601
pmf,full,25,0.0007013247904898989
pmf,full,26,0.0005640113435854133
pmf,full,27,0.0004554887639329763
pmf,full,28,0.00036933359334945237
pmf,full,29,0.00030063837884153344
pmf,full,30,0.00024563525302756517
pmf,full,31,0.00020141733640866022
pmf,full,32,0.0001657314874012883
pmf,full,33,0.00013682335043707639
pmf,full,34,0.00011332093086657835
pmf,full,35,9.414669221996519e-5
pmf,full,36,7.845087380076166e-5
pmf,full,37,6.556067162133417e-5
pmf,full,38,5.494133462313755e-5
pmf,full,39,4.6166252007928676e-5
pmf,cut7,0,0.0008963990714527661
pmf,cut7,1,0.039310808216314365
pmf,cut7,2,0.15176592655959115
pmf,cut7,3,0.22563044666689105
pmf,cut7,4,0.22885129553609834
pmf,cut7,5,0.19686320104332555
pmf,cut7,6,0.15668192290632676
pmf,cut14,0,0.0006340022990778668
pmf,cut14,1,0.027803624057039948
pmf,cut14,2,0.10734052435431776
pmf,cut14,3,0.15958318843072639
pmf,cut14,4,0.16186122022827198
pmf,cut14,5,0.13923678196477635
pmf,cut14,6,0.11081749469637481
pmf,cut14,7,0.08488278167132923
pmf,cut14,8,0.06381905777781982
pmf,cut14,9,0.047598964745612427
pmf,cut14,10,0.035428217949495244
pmf,cut14,11,0.026406241455749102
pmf,cut14,12,0.019749241510220172
pmf,cut14,13,0.014838658859188891
mean,truncated,3,1.7858887567470656
mean,truncated,4,2.441870828981972
mean,truncated,5,2.9934636664877585
mean,truncated,6,3.46186719814961
mean,truncated,7,3.859546726135152
mean,truncated,8,4.1960577065456555
mean,truncated,9,4.479667590721097
mean,truncated,10,4.717791171262616
mean,truncated,11,4.9170862491474345
mean,truncated,12,5.083467931457996
mean,truncated,13,5.2221216286043335
mean,truncated,14,5.337534912405737
mean,truncated,15,5.433547907477642
mean,truncated,16,5.513415928595644
mean,truncated,17,5.579877594798642
mean,truncated,18,5.635223022913631
mean,truncated,19,5.6813584386702205
mean,truncated,20,5.719865071054249
mean,truncated,21,5.75205135003982
mean,truncated,22,5.778998216053832
mean,truncated,23,5.801597839412975
mean,truncated,24,5.820586318492058
mean,truncated,25,5.836571046166167
mean,truncated,26,5.850053459332786
mean,truncated,27,5.861447855177888
mean,truncated,28,5.871096896928256
mean,truncated,29,5.8792843583030585
mean,truncated,30,5.886245580256715
mean,truncated,31,5.89217604181689
mean,truncated,32,5.897238381886075
mean,truncated,33,5.901568151954232
mean,truncated,34,5.905278530843514
mean,truncated,35,5.908464191387704
mean,truncated,36,5.911204474518944
mean,truncated,37,5.913565997755473
mean,truncated,38,5.915604801632653
mean,truncated,39,5.91736811842785
mean,truncated,40,5.918895831858733
mean,full,0,5.918895831858735
